# time(ps) MSD_C MSD_Si
1534.5 42583.812927091501479 46711.267009705283272
1535 42639.105806519452017 46769.860763016054989
1535.5 42655.836879449700064 46790.936359557344986
1536 42554.654162895683839 46704.945399358846771
1536.5 42571.560374115564628 46715.346178866166156
1537 42628.099757527561451 46775.768530421155447
1537.5 42592.923774871764181 46749.071026128272933
1538 42552.812869427776604 46727.094104102950951
1538.5 42585.579780845466303 46770.707022060494637
1539 42494.710774363302335 46684.45862066130212
1539.5 42521.35568361231708 46711.521182186283113
1540 42564.387480798366596 46750.282076910574688
1540.5 42631.429100021421618 46836.447521788824815
1541 42667.02925888493337 46870.625862102031533
1541.5 42616.550949143595062 46824.4791773064062
1542 42519.087092321147793 46743.401545826345682
1542.5 42532.686297180218389 46761.288225406555284
1543 42502.150986797445512 46729.485536798951216
1543.5 42585.413890992116649 46808.952884276062832
1544 42609.565904565752135 46848.279782721321681
1544.5 42736.091672750408179 46973.94720802341908
1545 42734.296820229901641 46994.805316131831205
1545.5 42632.743139842445089 46908.029243734148622
1546 42703.145124928283622 46985.256075168210373
1546.5 42743.629167928142124 47035.040721878533077
1547 42723.567672441095056 47026.869783608344733
1547.5 42685.544458577664045 46987.008341718894371
1548 42719.868707456822449 47023.725162297130737
1548.5 42726.162340669849073 47031.138581773760961
1549 42776.419584373252292 47086.36814019823214
1549.5 42782.696604321172344 47102.586124748973816
1550 42742.283947750649531 47076.956216150530963
1550.5 42690.395238025754225 47032.315377465973143
1551 42731.110375300158921 47090.052520172495861
1551.5 42821.836210721507086 47175.848654204135528
1552 42739.83406465468579 47101.289183293760289
1552.5 42700.379207679230603 47071.991569558551419
1553 42809.235849050986872 47186.803535181024927
1553.5 42782.504726945153379 47171.053073771152413
1554 42846.740980452006625 47241.46740157797467
1554.5 42844.425770473208104 47252.489510203806276
1555 42793.439025063176814 47216.635850756356376
1555.5 42792.805165251404105 47214.565074485857622
1556 42807.497186356762541 47230.003964284580434
1556.5 42733.154342570815061 47161.863429637029185
1557 42782.48278571019182 47214.365479219908593
1557.5 42751.093967427601456 47187.483095933930599
1558 42699.847709182242397 47147.489724995568395
1558.5 42803.236223429863458 47262.438410763767024
1559 42703.252959780715173 47162.11880377784837
1559.5 42748.449228834353562 47218.321930885693291
1560 42759.64745492257498 47228.515418854956806
1560.5 42802.889887556237227 47272.238106087061169
1561 42827.269930733251385 47301.558778607344721
1561.5 42871.778036311654432 47360.19259367959603
1562 42840.41163679442252 47330.533249166983296
1562.5 42837.973624379803368 47333.81307783783268
1563 42805.388760284462478 47308.891551115440961
1563.5 42920.240744612798153 47424.386237215338042
1564 42970.574144964833977 47466.562649299608893
1564.5 43005.049429601873271 47513.42661320453044
1565 43071.296737719931116 47587.072448496015568
1565.5 43027.587116130009235 47557.487261069320084
1566 43021.478636055253446 47564.885729411755165
