# time(ps) MSD_C MSD_Si
2071 38270.389826759688731 41271.562616170645924
2071.5 38321.998130823027168 41319.840887818005285
2072 38325.258108454450849 41335.109975372637564
2072.5 38322.692049232056888 41341.036355212621856
2073 38288.33544966923364 41317.854689883162791
2073.5 38352.023095022181224 41378.255593300411419
2074 38372.402629596072074 41389.53806193901255
2074.5 38360.04398417739867 41384.111119127061102
2075 38369.551477710570907 41407.605843079727492
2075.5 38370.111277703312226 41409.936450919471099
2076 38369.896311093609256 41407.489037344879762
2076.5 38395.409381027769996 41430.516566551836149
2077 38404.76824804716307 41449.139626519427111
2077.5 38409.179802526581625 41455.046490787055518
2078 38406.976356466308061 41451.419458073942224
2078.5 38376.284364906387054 41421.175522830519185
2079 38355.938925461836334 41411.635989334070473
2079.5 38364.630809389782371 41424.084725739907299
2080 38414.933739911255543 41470.288886925016413
2080.5 38325.095711634101463 41390.130429860451841
2081 38323.740499012026703 41398.323472323419992
2081.5 38302.628780652405112 41378.965893340253388
2082 38314.279620613553561 41402.493463331433304
2082.5 38323.561257735200343 41410.787960421592288
2083 38357.562619805234135 41441.897959846923186
2083.5 38323.196263879988692 41412.87577790764044
2084 38334.694403841422172 41430.106914299249183
2084.5 38318.447663458508032 41410.056613266657223
2085 38411.039339523136732 41497.198754036980972
2085.5 38462.695606268978736 41546.287797298085934
2086 38395.043806058754853 41483.600963301316369
2086.5 38403.58559652169788 41499.789532864066132
2087 38401.11534107280022 41496.067381198583462
2087.5 38404.593308963158051 41509.575939026311971
2088 38393.882616327573487 41511.300377129875415
2088.5 38408.911761075396498 41524.464239270797407
2089 38458.805915382894455 41584.090518078512105
2089.5 38461.802214016875951 41591.828740334909526
2090 38493.583539698222012 41623.506561187903571
2090.5 38476.530715692548256 41609.847897208215727
2091 38531.212196439788386 41671.66127044588211
2091.5 38522.5910597750335 41662.954269438370829
2092 38548.200473168006283 41697.810900109514478
2092.5 38522.854940389224794 41680.413502050498209
2093 38549.299154216343595 41703.400135228293948
2093.5 38564.78280035762873 41723.370397247039364
2094 38577.008567721539293 41741.778262392326724
2094.5 38506.021629476039379 41664.866562478411652
2095 38560.329446770636423 41719.048683367589547
2095.5 38573.798657483152056 41742.221033808018547
2096 38567.96718575576233 41734.150398401645361
2096.5 38554.503043847944355 41725.31178315076977
2097 38559.083294149262656 41735.207584679301362
2097.5 38614.650871826816001 41786.269029148817935
2098 38590.593514098225569 41760.629473171982681
2098.5 38584.432278866501292 41750.157433023814519
2099 38618.686822107018088 41804.437099794980895
2099.5 38647.424182627430127 41827.188446763415413
2100 38653.568970590851677 41830.277634914578812
2100.5 38617.346096575951378 41801.471011648442072
2101 38555.971107375000429 41754.214973901565827
2101.5 38502.039961830356333 41704.685423861541494
2102 38535.129162910423474 41736.89254302727204
2102.5 38573.742493963552988 41781.606412122302572
2103 38570.312153745413525 41780.097207243299636
2103.5 38589.798583997224341 41809.042026010407426
2104 38588.46166490525502 41815.781688138209574
2104.5 38591.816765713054338 41811.65115971135674
2105 38626.435902298573637 41849.621016389915894
2105.5 38573.37705679404462 41811.836008641279477
2106 38602.983816593863594 41847.043059348230599
2106.5 38612.843096813528973 41852.34198796000419
2107 38611.161936976313882 41859.918100175520522
2107.5 38587.596477286766458 41846.768434622339555
2108 38581.335208401033015 41848.845841631024086
2108.5 38633.326819543843158 41902.920035003327939
2109 38591.051410960142675 41867.77047391411179
2109.5 38594.91428383494349 41871.158584097618586
2110 38637.477193386817817 41917.203579915396404
2110.5 38646.398622061860806 41934.29864925435686
2111 38597.319207483727951 41886.162224035368126
2111.5 38614.343940665021364 41910.318692675988132
2112 38603.389019165333593 41918.055494396961876
2112.5 38577.723613325710176 41900.981426257923886
2113 38601.881283155526035 41935.781566980411299
2113.5 38574.9385599639063 41917.915534724270401
2114 38600.751606924932275 41946.65390042620129
2114.5 38553.961470645917871 41908.961292005049472
2115 38534.432737484828976 41907.091542382760963
2115.5 38486.615811205258069 41861.257875014191086
2116 38567.619744797309977 41949.0253112281207
2116.5 38597.237883519737807 41968.111013083449507
2117 38595.262398979713907 41977.486843469101586
2117.5 38599.944013235188322 42003.043660814444593
2118 38557.283192688708368 41967.204363354263478
2118.5 38524.712919219491596 41943.419929195930308
2119 38532.256762649703887 41957.954125813455903
2119.5 38510.139711062460265 41931.225738917950366
2120 38542.108513401479286 41966.060699779634888
2120.5 38539.902746281128202 41967.095083863583568
2121 38530.86908749279246 41965.255015202528739
2121.5 38553.418244681713986 41994.814560331884422
2122 38452.721778629806067 41897.385865886761167
2122.5 38465.807509650789143 41923.932233486404584
2123 38509.180348457492073 41961.376076073443983
2123.5 38514.189080586438649 41970.319418716229848
2124 38601.055044499276846 42058.92814380989148
2124.5 38613.98729353267845 42074.087693082074111
2125 38641.562211512195063 42110.58598229479685
2125.5 38625.398254508800164 42097.729741527371516
2126 38553.174541343403689 42036.178632509021554
2126.5 38535.840323412732687 42024.857039082584379
2127 38557.81981752612046 42058.225682658223377
2127.5 38479.104382381716277 41988.277356193000742
2128 38515.443176190558006 42030.124510076544539
2128.5 38446.549133854961838 41959.548272164865921
2129 38497.881098004421801 42020.913629088645393
2129.5 38536.839773351006443 42060.087486945325509
2130 38572.780213273726986 42094.562608060652565
2130.5 38575.466366193628346 42104.023886584560387
2131 38596.558161560118606 42122.76364729397028
2131.5 38632.474786161314114 42150.561847034427046
2132 38636.953228002690594 42162.122011330502573
2132.5 38672.058862267935183 42208.481162960451911
2133 38700.857388062257087 42248.946210212248843
2133.5 38711.540737671544775 42262.731449244260148
2134 38647.49866085989197 42210.745943653739232
2134.5 38669.429446251502668 42251.139624393952545
2135 38651.60282573330187 42234.98466786708741
2135.5 38609.601267716730945 42193.711340193010983
2136 38642.362728485939442 42231.422268738206185
2136.5 38658.265084888786077 42245.987073659518501
2137 38616.568736354878638 42224.920224735913507
2137.5 38608.001880893571069 42217.206172853970202
2138 38577.81063882176386 42194.89689030739828
2138.5 38632.989391224196879 42245.869907090731431
